NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,RRANK,SALARY,VOTES,PLAYOFFS,HIGH SALARY,POPULAR,
Paul George,OKC,77,36.9,4.55,3.08,7.63,19.86,1,33005556,3122346,1,1,1,
LeBron James,LAL,55,35.2,3.61,1.83,5.44,11.04,2,37436858,4620809,0,1,1,
Kevin Durant,GS,78,34.6,4.36,0.6,4.96,14.1,3,37199000,3150648,1,1,1,
Jimmy Butler,PHI,65,33.6,2.55,2.16,4.71,10.97,4,32742000,907775,1,1,1,
Danilo Gallinari,LAC,68,30.3,3.58,0,3.58,8.69,5,22615559,259799,1,1,0,
Kawhi Leonard,TOR,60,34,3.24,0.02,3.26,8.32,6,32742000,3580531,1,1,1,
Joe Ingles,UTAH,82,31.3,1.6,1.31,2.91,10.04,7,11954546,77335,1,1,0,
Davis Bertans,SA,76,21.5,2.46,0.43,2.89,6.31,8,7000000,0,1,0,0,
Robert Covington,PHI,35,34.4,-0.81,3.52,2.71,4.34,9,11301219,62266,1,1,0,
Rudy Gay,SA,69,26.7,0.44,1.78,2.22,6.21,10,14000000,122988,1,1,0,
Justise Winslow,MIA,66,29.7,0.15,1.9,2.05,6.28,11,13000000,49421,0,1,0,
Khris Middleton,MIL,77,31.1,1.74,0.15,1.89,7.91,12,30603448,238103,1,1,0,
Tobias Harris,PHI,82,34.7,1.33,0.3,1.63,8.68,13,31034483,219184,1,1,0,
Thabo Sefolosha,UTAH,50,12.2,-0.85,2.33,1.48,1.88,14,2564753,6236,0,0,0,
Jayson Tatum,BOS,79,31.1,0.14,1.25,1.39,6.93,15,7830000,1002885,1,1,1,
Luka Doncic,DAL,72,32.2,2.36,-1.07,1.29,6.56,16,7683360,4242980,0,0,1,
Otto Porter Jr.,WSH,56,30.1,1.05,0.19,1.24,4.59,17,27250576,9713,0,1,0,
PJ Tucker,HOU,82,34.2,-0.8,1.86,1.06,7.19,18,8349039,149798,1,1,0,
Danuel House Jr.,HOU,39,25.1,1.18,-0.16,1.02,2.5,19,3540000,45459,1,0,0,
Royce O'Neale,UTAH,82,20.4,-1.49,2.28,0.79,4.29,20,1618520,8163,0,0,0,
Maurice Harkless,POR,60,23.6,-1.05,1.69,0.64,3.31,21,11511234,11822,1,1,0,
Jerami Grant,OKC,80,32.7,-0.26,0.86,0.6,6.38,22,9346153,238095,1,1,0,
Gordon Hayward,BOS,72,25.9,1.03,-0.62,0.41,4.15,23,32700690,412018,1,1,0,
Bojan Bogdanovic,IND,81,31.8,1.19,-0.92,0.27,5.42,24,17000000,190006,1,1,0,
Cody Zeller,CHA,49,25.4,-1.05,1.23,0.18,2.65,25,14471910,11141,0,1,0,
Richaun Holmes,PHX,70,16.9,-1.48,1.58,0.1,2.37,26,4767000,5639,0,0,0,
Jared Dudley,BKN,59,20.7,-0.65,0.74,0.09,2.35,27,2564753,9760,1,0,0,
